key,selector,healCount,lastVerified
"login.emailInput","label:has-text(""Email address"") + input, input#email",0,"2026-07-08T06:50:24.040Z"
"login.passwordInput","label:has-text(""Password"") + input, input#password",0,"2026-07-08T06:50:24.041Z"
"login.submitButton","button[type=""submit""]",1,"2026-07-08T06:50:24.041Z"
"login.errorMessage",".form-error",0,"2026-07-08T06:50:24.041Z"
"nav.brand",".navbar-brand",0,"2026-07-08T06:50:24.041Z"
"nav.dashboardLink","a:has-text(""Dashboard"")",0,"2026-07-08T06:50:24.041Z"
"nav.productsLink","a:has-text(""Products"")",0,"2026-07-08T06:50:24.041Z"
"nav.logoutButton","button:has-text(""Logout"")",0,"2026-07-08T06:50:24.041Z"
"dashboard.heading","h2:has-text(""Dashboard"")",0,"2026-07-08T06:50:24.041Z"
"dashboard.statCards",".stat-card",0,"2026-07-08T06:50:24.042Z"
"dashboard.chartCards",".chart-card",0,"2026-07-08T06:50:24.042Z"
"products.heading","h2:has-text(""Products"")",0,"2026-07-08T06:50:24.042Z"
"products.searchInput","input[placeholder*=""Search""]",0,"2026-07-08T06:50:24.042Z"
"products.tableRows","tbody tr",0,"2026-07-08T06:50:24.042Z"
"products.footer",".table-footer",0,"2026-07-08T06:50:24.042Z"
"nav.user","span:has-text(""admin@shop.com"")",0,"2026-07-08T06:57:09.087Z"
"products.header.name","th:has-text(""Product Name"")",0,"2026-07-08T06:57:09.087Z"
